role,dataset,category,language,original_file,academic_file,title
supplementary,tess,fidelidad_xai,english,tess_faithfulness_auc_by_method.png,english/supplementary_figures/tess_faithfulness_deletion_auc_by_xai_method.png,TESS - Deletion-AUC faithfulness by XAI method
supplementary,tess,fidelidad_xai,espanol,tess_faithfulness_correlation_by_method.png,espanol/material_suplementario/tess_correlacion_fidelidad_por_metodo_xai.png,TESS - Faithfulness Correlation por metodo XAI
supplementary,tess,fidelidad_xai,english,tess_faithfulness_correlation_by_method.png,english/supplementary_figures/tess_faithfulness_correlation_by_xai_method.png,TESS - Faithfulness Correlation by XAI method
supplementary,tess,fidelidad_xai,espanol,tess_faithfulness_deletion_curves.png,espanol/material_suplementario/tess_curvas_fidelidad_por_borrado.png,TESS - Curvas de fidelidad por borrado
supplementary,tess,fidelidad_xai,english,tess_faithfulness_deletion_curves.png,english/supplementary_figures/tess_faithfulness_deletion_curves.png,TESS - Faithfulness deletion curves
supplementary,tess,mapas_xai_individuales,espanol,tess_falso_negativo_idx495_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_falso_negativo_idx495.png,TESS - Mapa XAI de falso negativo (idx=495)
supplementary,tess,mapas_xai_individuales,english,tess_falso_negativo_idx495_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_false_negative_idx495.png,TESS - XAI explanation map for false negative (idx=495)
supplementary,tess,mapas_xai_individuales,espanol,tess_falso_positivo_idx700_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_falso_positivo_idx700.png,TESS - Mapa XAI de falso positivo (idx=700)
supplementary,tess,mapas_xai_individuales,english,tess_falso_positivo_idx700_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_false_positive_idx700.png,TESS - XAI explanation map for false positive (idx=700)
supplementary,tess,incertidumbre,espanol,tess_maxlike_vs_mc_dropout.png,espanol/material_suplementario/tess_comparacion_maxlike_mc_dropout.png,TESS - Comparacion de probabilidad MaxLike y MC Dropout
supplementary,tess,incertidumbre,english,tess_maxlike_vs_mc_dropout.png,english/supplementary_figures/tess_maxlike_vs_mc_dropout_probability_comparison.png,TESS - MaxLike vs MC Dropout probability comparison
