dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,falso_positivo,677,saliency,1,0.05,0.9931057095527649,0.9931057095527649,0.653174638748169,0.653174638748169,0.33993107080459595
kepler,falso_positivo,677,saliency,1,0.1,0.9931057095527649,0.9931057095527649,0.5520110130310059,0.5520110130310059,0.44109469652175903
kepler,falso_positivo,677,saliency,1,0.2,0.9931057095527649,0.9931057095527649,0.2879268527030945,0.2879268527030945,0.7051788568496704
kepler,falso_positivo,677,saliency,1,0.3,0.9931057095527649,0.9931057095527649,0.30983254313468933,0.30983254313468933,0.6832731664180756
kepler,falso_positivo,677,saliency,1,0.5,0.9931057095527649,0.9931057095527649,0.015981001779437065,0.015981001779437065,0.9771247077733278
kepler,falso_positivo,677,smoothgrad,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,smoothgrad,1,0.05,0.9931057095527649,0.9931057095527649,0.664410412311554,0.664410412311554,0.32869529724121094
kepler,falso_positivo,677,smoothgrad,1,0.1,0.9931057095527649,0.9931057095527649,0.6054262518882751,0.6054262518882751,0.38767945766448975
kepler,falso_positivo,677,smoothgrad,1,0.2,0.9931057095527649,0.9931057095527649,0.3185895085334778,0.3185895085334778,0.6745162010192871
kepler,falso_positivo,677,smoothgrad,1,0.3,0.9931057095527649,0.9931057095527649,0.37763407826423645,0.37763407826423645,0.6154716312885284
kepler,falso_positivo,677,smoothgrad,1,0.5,0.9931057095527649,0.9931057095527649,0.02435554750263691,0.02435554750263691,0.968750162050128
kepler,falso_positivo,677,integrated_gradients,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,integrated_gradients,1,0.05,0.9931057095527649,0.9931057095527649,0.0942152813076973,0.0942152813076973,0.8988904282450676
kepler,falso_positivo,677,integrated_gradients,1,0.1,0.9931057095527649,0.9931057095527649,0.05163956806063652,0.05163956806063652,0.9414661414921284
kepler,falso_positivo,677,integrated_gradients,1,0.2,0.9931057095527649,0.9931057095527649,0.13726559281349182,0.13726559281349182,0.8558401167392731
kepler,falso_positivo,677,integrated_gradients,1,0.3,0.9931057095527649,0.9931057095527649,0.07935172319412231,0.07935172319412231,0.9137539863586426
kepler,falso_positivo,677,integrated_gradients,1,0.5,0.9931057095527649,0.9931057095527649,0.029544709250330925,0.029544709250330925,0.963561000302434
kepler,falso_positivo,677,occlusion,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,occlusion,1,0.05,0.9931057095527649,0.9931057095527649,0.10839188098907471,0.10839188098907471,0.8847138285636902
kepler,falso_positivo,677,occlusion,1,0.1,0.9931057095527649,0.9931057095527649,0.035488951951265335,0.035488951951265335,0.9576167576014996
kepler,falso_positivo,677,occlusion,1,0.2,0.9931057095527649,0.9931057095527649,0.038427844643592834,0.038427844643592834,0.9546778649091721
kepler,falso_positivo,677,occlusion,1,0.3,0.9931057095527649,0.9931057095527649,0.0050711180083453655,0.0050711180083453655,0.9880345915444195
kepler,falso_positivo,677,occlusion,1,0.5,0.9931057095527649,0.9931057095527649,0.001686012838035822,0.001686012838035822,0.9914196967147291
