dataset,case,index,method,target_label,faithfulness_auc_norm,drop_at_05,drop_at_10,drop_at_20,max_drop,final_drop,negative_drop_fraction,monotonicity_fraction
tess,cerca_del_umbral,1007,smoothgrad,0,-0.6957970219256822,-0.7442212239839137,-0.7464812229154631,-0.7472333981422707,0.0,-0.6859066635370255,0.8333333333333334,0.4
tess,falso_negativo,495,consensus,0,0.0566301878643571,0.0057978629192803,0.0091501715651247,0.0230751427880022,0.140905106352875,0.140905106352875,0.0,1.0
tess,falso_negativo,495,gradcam,0,0.03244073312816903,0.0030888602195773,0.0029392595461104,0.0018865053134504,0.1511818560829851,0.1511818560829851,0.0,0.6
tess,falso_negativo,495,gradcam_multiscale,0,0.01142765978438541,0.0040530026017222,0.0030779996013734,0.0034581312502268,0.0378599184623453,0.0378599184623453,0.0,0.8
tess,falso_negativo,495,integrated_gradients,0,0.0445951176443486,0.008045407856116,0.0098741211986634,0.0241069010517094,0.0772247183194849,0.0716033148637507,0.0,0.8
tess,falso_negativo,495,occlusion,0,0.08894070481037486,0.0069422851374838,0.0366752537956927,0.0890035423508379,0.1885263565054629,0.0419328640273306,0.0,0.8
tess,falso_negativo,495,saliency,0,0.04935258618643269,0.0076365730783436,0.0091416611394379,0.1049335244169924,0.1049335244169924,0.0897682773938868,0.0,0.8
tess,falso_negativo,495,smoothgrad,0,0.020745212548354153,0.0076365730783436,0.0076523934549186,0.0111664169526193,0.0588779802492354,0.0588779802492354,0.0,1.0
tess,falso_positivo,700,consensus,1,0.8480578192509711,0.9734019674360752,0.9615688752382994,0.9033664092421532,0.9734019674360752,0.8475528806447983,0.0,0.2
tess,falso_positivo,700,gradcam,1,0.013751757144927993,3.0994415283203125e-06,-3.9577484130859375e-05,-0.0002017021179199,0.0701877474784851,0.0701877474784851,0.5,0.4
tess,falso_positivo,700,gradcam_multiscale,1,0.8496027372777462,0.9653928214684128,0.9641572628170252,0.9038726836442948,0.9653928214684128,0.8587973639369011,0.0,0.4
tess,falso_positivo,700,integrated_gradients,1,0.8559702488593758,0.9738992676138878,0.9608489591628312,0.9436613135039806,0.9738992676138878,0.8528894484043121,0.0,0.4
tess,falso_positivo,700,occlusion,1,0.8516235204413534,0.9721451457589864,0.9599460437893867,0.9152719378471376,0.9721451457589864,0.8518491387367249,0.0,0.2
tess,falso_positivo,700,saliency,1,0.8189347385894508,0.4275604486465454,0.6524192690849304,0.97336645424366,0.97336645424366,0.9585536643862724,0.0,0.6
tess,falso_positivo,700,smoothgrad,1,0.8117169645614922,0.4114737510681152,0.6140503585338593,0.9740100046619772,0.9740100046619772,0.9585881642997264,0.0,0.6
tess,mayor_incertidumbre_mc_dropout,1255,consensus,0,-0.4095079151913523,-0.3238955736160278,-0.42160589620471,-0.4542758986353874,0.0,-0.4386920612305403,0.8333333333333334,0.4
tess,mayor_incertidumbre_mc_dropout,1255,gradcam,0,-0.37422885484993457,-0.3917100876569748,-0.4108309037983417,-0.444166412577033,0.0,-0.2629314064979553,0.8333333333333334,0.4
tess,mayor_incertidumbre_mc_dropout,1255,gradcam_multiscale,0,-0.38431165274232626,-0.3320866674184799,-0.3024144917726517,-0.445341657847166,0.0,-0.4021681472659111,0.8333333333333334,0.4
tess,mayor_incertidumbre_mc_dropout,1255,integrated_gradients,0,-0.43028260413557284,-0.4494767729192972,-0.4603716041892767,-0.4605135261081159,0.0,-0.4345920495688915,0.8333333333333334,0.4
