dataset,case,index,counterfactual,description,y_true,target_label,threshold,base_probability,counterfactual_probability,probability_delta,base_target_confidence,counterfactual_target_confidence,target_confidence_delta,pred_label_after,prediction_changed
kepler,falso_negativo,1343,shallow_local_transit,Reduce valores negativos locales,1,0,0.5000000000000001,0.0015448675258085132,0.00043326581362634897,-0.0011116017121821642,0.9984551324741915,0.9995667341863737,0.0011116017121821642,0,0
kepler,falso_negativo,1343,deepen_both_transits,Profundiza valores negativos globales y locales,1,0,0.5000000000000001,0.0015448675258085132,0.4944239854812622,0.4928791179554537,0.9984551324741915,0.5055760145187378,-0.4928791179554537,0,0
kepler,falso_negativo,1343,shallow_both_transits,Reduce valores negativos globales y locales,1,0,0.5000000000000001,0.0015448675258085132,0.0001690680073807016,-0.0013757995184278116,0.9984551324741915,0.9998309319926193,0.0013757995184278116,0,0
kepler,mayor_incertidumbre_mc_dropout,1053,erase_global_transit,Aplana ventana central global,1,1,0.5000000000000001,0.6035246849060059,0.22831885516643524,-0.3752058297395706,0.6035246849060059,0.22831885516643524,-0.3752058297395706,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,erase_local_transit,Aplana ventana central local,1,1,0.5000000000000001,0.6035246849060059,0.20149844884872437,-0.4020262360572815,0.6035246849060059,0.20149844884872437,-0.4020262360572815,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,erase_both_transits,Aplana ventanas centrales global y local,1,1,0.5000000000000001,0.6035246849060059,0.09568444639444351,-0.5078402385115623,0.6035246849060059,0.09568444639444351,-0.5078402385115623,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,deepen_local_transit,Profundiza valores negativos locales,1,1,0.5000000000000001,0.6035246849060059,0.15765270590782166,-0.4458719789981842,0.6035246849060059,0.15765270590782166,-0.4458719789981842,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,shallow_local_transit,Reduce valores negativos locales,1,1,0.5000000000000001,0.6035246849060059,0.632811963558197,0.029287278652191162,0.6035246849060059,0.632811963558197,0.029287278652191162,1,0
kepler,mayor_incertidumbre_mc_dropout,1053,deepen_both_transits,Profundiza valores negativos globales y locales,1,1,0.5000000000000001,0.6035246849060059,0.17543929815292358,-0.4280853867530823,0.6035246849060059,0.17543929815292358,-0.4280853867530823,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,shallow_both_transits,Reduce valores negativos globales y locales,1,1,0.5000000000000001,0.6035246849060059,0.643630862236023,0.04010617733001709,0.6035246849060059,0.643630862236023,0.04010617733001709,1,0
